ticker,nom,secteur,pays,devise,type,date_derniere_alerte,nb_alertes,sentiment_dominant,intensite_max,horizons,catalyseurs,resume_principal,score_growth,G1_CA,G1_ok,G2_Marge,G2_ok,G3_Underval,G3_ok,G4_Momentum,G4_ok,G5_Volume,G5_ok,score_safe,S1_MCap,S1_ok,S2_DE,S2_ok,S3_Beta,S3_ok,S4_Div,S4_ok,S5_FCF_M,S5_ok,S6_FCF_G,S6_ok,S7_RevEPS,S7_ok,score_total,profil,conviction_opp,direction_opp,prix,market_cap_B,titres,liens
AMSC,American Superconductor Corpora,Industrials,,,VALIDATED,2026-04-27 21:46,0,,,,nouvelle demande,American Superconductor bénéficie d'une hausse de 24.6% suite à une hausse de la demande pour ses produits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,49.52,,,
AVGO,Broadcom Inc.,Technology,,,VALIDATED,2026-05-03 14:46,10,positif,fort,1-2sem | intraday | 1-3mois,produit | earnings | macro | M&A | recommandation d'achat,La hausse de 0.7% sur 5 jours pour AVGO indique une augmentation de popularité possiblement liée à des nouvelles récentes ou des performances financières encourageantes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,modere,hausse,421.28,,"Broadcom Stock Price Prediction After 32% Monthly Surge: $475 Target, $558 Bull  | Broadcom, IBD Stock Of The Day, Hovers Near Buy Zone | Broadcom's Q2 2026 Earnings: What to Expect | Broadcom, Viking, Rio Tinto Lead Five Stocks Near Buy Points As Market Revs | Dow Jones Futures: Stock Market Hits High After Bullish Pause; Apple, Broadcom I | Is Broadcom (AVGO) One of the Best American Tech Stocks to Buy? | How Investors Are Reacting To Broadcom (AVGO) Embedding AppNeta Observability In",https://247wallst.com/investing/2026/04/27/broadcom-stock-price-prediction-after-32-monthly-surge-475-target-558-bull-case/?.tsrc=rss | https://finance.yahoo.com/m/bf33a7cb-bfec-3b22-a616-ceca549945e4/broadcom%2C-ibd-stock-of-the.html?.tsrc=rss | https://www.barchart.com/story/news/1536788/broadcom-s-q2-2026-earnings-what-to-expect?.tsrc=rss | https://www.investors.com/news/broadcom-stock-market-viking-rio-tinto-dycom-wabtec-sp-500-dow-jones-nasdaq/?src=A00220&yptr=yahoo | https://finance.yahoo.com/m/cfdf164e-e24a-366b-9d8b-b0274f05ba94/dow-jones-futures%3A-stock.html?.tsrc=rss | https://finance.yahoo.com/sectors/technology/articles/broadcom-avgo-one-best-american-223952363.html?.tsrc=rss | https://finance.yahoo.com/m/86759845-aca9-3fa5-943d-cb6ae3de1e02/broadcom%2C-viking%2C-rio-tinto.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/investors-reacting-broadcom-avgo-embedding-021339411.html?.tsrc=rss
KGC,Kinross Gold Corporation,Basic Materials,,,VALIDATED,2026-04-27 21:56,1,positif,modere,1-3mois,produit | changement de tendance,"Intel a confirmé un segment or en matière de semi-conducteurs, ce qui pourrait stimuler la demande pour les actions de KGC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,32.16,,Intel Confirms Another Gold Mine Segment In Semiconductors,https://seekingalpha.com/article/4894722-intel-confirms-another-gold-mine-segment-in-semiconductors?source=feed_all_articles
MAR,Marriott International,Consumer Cyclical,,,VALIDATED,2026-04-27 20:57,0,,,,rupture de partenariat,"Le partenariat entre Marvell et Poet Technologies se dégrade, affectant significativement le cours des actions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,baisse,359.745,,,
MDT,Medtronic plc.,Healthcare,,,VALIDATED,2026-04-27 21:03,0,,,,upgrade analyste,"Médtronic est sur le point d'être couvert par un analyste qui augmente son rating, indiquant une hausse anticipée de la valeur.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,82.9841,,,
META,"Meta Platforms, Inc.",Communication Services,,,VALIDATED,2026-05-03 14:46,0,,,,message de direction,Message de Zuckerberg à Meta pourrait indiquer des problèmes de moral dans l'entreprise.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,baisse,608.745,,,
MRVL,"Marvell Technology, Inc.",Technology,,,VALIDATED,2026-04-27 21:08,4,negatif,fort,intraday,M&A | produit | nouveau contrat,Les actions de Marvell Technology et NVIDIA sont sur une tendance haussière suite à une recommandation positive de Jim Cramer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,157.0599,,"Poet Technologies’ stock craters nearly 50% in record drop, as Marvell relations | Jim Cramer Notes Stocks Like Marvell Are “All on Fire”",https://www.marketwatch.com/story/poet-technologies-stock-craters-nearly-50-in-record-drop-as-marvell-relationship-sours-1e37d970?mod=mw_rss_topstories | https://finance.yahoo.com/markets/stocks/articles/jim-cramer-notes-stocks-marvell-032636814.html?.tsrc=rss
NKE,"Nike, Inc.",Consumer Cyclical,,,VALIDATED,2026-05-03 14:46,0,,,,réduction de personnel,"Nike coupe 1,400 emplois, possiblement un signe de mauvaise santé financière.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,baisse,44.4,,,
NVDA,NVIDIA Corporation,Technology,United States,USD,VALIDATED,2026-05-03 15:00,7,positif,fort,intraday,produit | earnings | expansion | expansion du marché | nouveau contrat | earnings release | croissance technologique,La baisse de la valeur de Nvidia (NVDA) est principalement due à la hausse des perspectives de croissance d'Alphabet (GOOGL) sur le marché de l'intelligence artificielle et du cloud.,2,✓ 73.2%,True,✓ 71.1%,True,✗ 1/3,False,✗ 6.9%,False,✗ 0.95x,False,6,✓ 4466.0Mrd€,True,✓ 7.3%,True,✗ 2.33,False,✓ 2.00%,True,✓ 26.9%,True,✓ 94.5%,True,✓ 84.4%,True,8,🛡️  Pure Safe,fort,hausse,198.45,4823.33,Jim Cramer Notes Stocks Like Marvell Are “All on Fire” | Will Nvidia's explosive rally end soon? | New Strong Buy Stocks for April 27th | The First $6 Trillion Company May Not Be Nvidia,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-notes-stocks-marvell-032636814.html?.tsrc=rss | https://finance.yahoo.com/news/will-nvidias-explosive-rally-end-soon-133429771.html?.tsrc=rss | https://finance.yahoo.com/markets/stocks/articles/strong-buy-stocks-april-27th-072400578.html?.tsrc=rss | https://finance.yahoo.com/m/b246014e-b62f-3722-8a0b-f30af3a07666/the-first-%246-trillion-company.html?.tsrc=rss
POWI,"Power Integrations, Inc.",Technology,,,VALIDATED,2026-04-27 21:46,0,,,,earnings surprise,"Power Integrations anticipé avoir une bonne performance, provoquant une hausse de 25%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,70.675,,,
RMBS,"Rambus, Inc.",Technology,,,VALIDATED,2026-04-27 21:46,0,,,,earnings surprise,"Rambus Inc prévoit de relever ses résultats lundi, anticipant une hausse de 24.8%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,142.575,,,
VICR,Vicor Corporation,Technology,,,VALIDATED,2026-04-27 21:48,0,,,,profits and revenues skyrocket,Vicor annonce une hausse significative des profits et des revenus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,269.375,,,
AMZN,,,,,OPPORTUNITY,2026-04-27 20:57,0,,,,performance boursière,"Tesla et Amazon montrent que les investisseurs jouent à long terme, contrebalançant les tentatives de réparation du court terme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,modéré,hausse,,,,
LEN,Lennar Corporation,Consumer Cyclical,,,OPPORTUNITY,2026-04-27 21:51,0,,,,Downgrade,Expect LENnox International to underperform the market moving forward.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,baisse,93.27,,,
MU,"Micron Technology, Inc.",Technology,,,OPPORTUNITY,2026-05-03 14:46,7,positif,fort,intraday | 1-2sem,earnings | réglementaire | récompense | récompense de stock | produit | nouveau contrat | nouvelle division | réunion d'actionnaires,La vente notable du Chief Scientist pourrait indiquer une anticipation positive concernant les prochaines annonces réglementaires ou de développement pour Immunome.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,faible,neutre,520.44,,"Stocks making the biggest moves midday: Sandisk, Micron, Verizon, AMD, GE Vernov | DOJ’s Partial Reversal on Powell Probe Keeps Fed Drama Alive | Immunome's Chief Scientist Trimmed His Stake. A Planned FDA Submission Tells You | Micron and Sandisk shares could soar further thanks to a software-like subscript",https://www.cnbc.com/2026/04/27/stocks-making-the-biggest-moves-midday-sndk-mu-vz-amd-gev.html | https://finance.yahoo.com/news/doj-partial-reversal-powell-probe-185508901.html?.tsrc=rss | https://www.fool.com/coverage/filings/2026/04/04/immunome-s-chief-scientist-trimmed-his-stake-a-planned-fda-submission-tells-you-more/?.tsrc=rss | https://www.marketwatch.com/story/micron-and-sandisk-shares-could-soar-further-thanks-to-a-software-like-subscription-model-80534cd3?mod=mw_rss_topstories
NVTS,Navitas Semiconductor Corporati,Technology,,,OPPORTUNITY,2026-04-27 21:48,0,,,,investors positioning ahead of earnings,Navitas anticipée par les investisseurs avant les résultats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,18.01,,,
T,AT&T Inc.,Communication Services,,,OPPORTUNITY,2026-04-27 20:57,0,,,,nouveau contrat,AT&T espère que de nouvelles offres renforcent la fidélité des clients.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fort,hausse,25.77,,,
XXXX,Bank Of Montreal MAX S&P 500 4X,N/A,N/A,USD,OPPORTUNITY,2026-05-03 14:57,0,,,,Southside Bancshares Q1 Earnings Call Highlights,Le call d'earnings de Southside Bancshares pour le premier trimestre présente des points forts qui pourraient potentiellement pousser le titre vers une hausse modérée.,1,✗ N/A,False,✗ N/A,False,✗ 0/3,False,✗ -47.3%,False,✓ 1.57x,True,0,✗ N/A,False,✗ N/A,False,✗ N/A,False,✗ N/A,False,✗ N/A,False,✗ N/A,False,✗ N/A,False,1,⚪ Below,modere,hausse,38.54,,,
