magazine,page,entreprise,ticker,categorie,signal,preuve
Capital 10/2026,88,Osaka Gas,9532.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Osaka Gas,9532.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Börse Online 33/2026,8,Pernod Ricard,RI.PA,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",Pernod Ricard wird aktuell bewertet und generiert dreimal so viel Umsatz. Die geplatzte Übernahme könnte somit zu einer nachhaltigen Neubewertung beim französischen Spirituosenhersteller führen.
Börse Online 33/2026,8,Pernod Ricard,RI.PA,Qualité,"Position dominante, marque, avantage concurrentiel","Die Familie Brown, ab. Der Verwaltungsrat und die Großaktionäre sind überzeugt, dass das Angebot den wahren inneren Wert und das langfristige Potenzial des Herstellers von Jack Daniel's nicht ausreichend widerspiegelt."
Börse Online 33/2026,8,Pernod Ricard,RI.PA,Avis de tiers,Consensus / objectifs des analystes,"Richard Withagen, Analyst bei Kepler Cheuvreux, sieht beispielsweise noch Spielraum bis 100 Euro. Das entspricht einem Aufschlag zum aktuellen Kurs von 47,4 Prozent."
Capital 10/2026,88,PPG Industries,PPG,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,PPG Industries,PPG,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,PPG Industries,PPG,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Publicis,PUB.PA,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Publicis,PUB.PA,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,88,Publicis,PUB.PA,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,RPM International,RPM,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,RPM International,RPM,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,RPM International,RPM,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Santen,4536.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Santen,4536.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Santen,4536.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shin-Etsu Chemical,4063.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shin-Etsu Chemical,4063.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shin-Etsu Chemical,4063.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shionogi,4507.T,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shionogi,4507.T,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Shionogi,4507.T,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,SLB,SLB,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,SLB,SLB,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,SLB,SLB,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Snap-on,SNA,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Snap-on,SNA,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Snap-on,SNA,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Sun Life Financial,SLF.TO,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Sun Life Financial,SLF.TO,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Sun Life Financial,SLF.TO,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Suncor Energy,SU.TO,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Suncor Energy,SU.TO,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Suncor Energy,SU.TO,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Union Pacific,UNP,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Union Pacific,UNP,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Union Pacific,UNP,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,United Health Group,UNH,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,United Health Group,UNH,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,United Health Group,UNH,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Verizon,VZ,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Verizon,VZ,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,Verizon,VZ,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,WEC Energy,WEC,Rendement actionnaire,Dividende élevé ou en hausse,critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,WEC Energy,WEC,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",critère du classement 50 Aktien fürs Leben
Capital 10/2026,91,WEC Energy,WEC,Qualité,"Bilan solide, trésorerie, cash-flow",critère du classement 50 Aktien fürs Leben
Börse Online 33/2026,34,ATOSS SOFTWARE,AOF.DE,Valorisation,Achat après forte baisse / surréaction,"Nach massiven Kursverlusten hat die Aktie von Atoss Software Aufholpotenzial, wenn das Management weiter gute Geschäftsergebnisse liefert."
Börse Online 33/2026,34,ATOSS SOFTWARE,AOF.DE,Qualité,Marges / rentabilité élevées,die operative Marge stieg von 34 auf 35 Prozent
Börse Online 33/2026,34,ATOSS SOFTWARE,AOF.DE,Croissance,Croissance du CA / des bénéfices,Der Umsatz stieg gegenüber dem Vorjahreszeitraum um 13 Prozent
Börse Online 27/2026,69,Gold-Capped-Call,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)",Gold-Capped-Call
Börse Online 39/2026,73,SAP,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)",Eine wunderbare Alternative zur SAP-Aktie stellt dieses Bonus-Cap-Zertifikat dar
Börse Online 39/2026,73,SAP,,Analyse technique,Signal d'achat chartiste / saisonnalité,Bei diesem starken Kaufsignal schneidet die 50-Tage-Linie den 200-Tage-Durchschnitt von unten.
Börse Online 39/2026,73,SAP,,Analyse technique,Cassure de résistance / rebond sur support,"Zunächst einmal die 200-­T age-Linie, dann einen Abwärtstrend, welcher gut ein Jahr währte. Ein wichtiger"
Börse Online 39/2026,73,SAP,,Croissance,Croissance du CA / des bénéfices,"Das bullische Signal erfolgt in einer Situation, die bereits durchaus freundlich ist,"
Börse Online 39/2026,73,SAP,,Analyse technique,"Indicateurs (RSI, MACD, momentum, force relative)","Bei dem DAX-Schwerpunkt hatte es das zuletzt im November 2022 gegeben, und es folgte nach ei ner ersten k u rzen"
Börse Online 33/2026,68,TecDAX,,Analyse technique,"Tendance / moyennes mobiles (GD50, GD200)",gut viermonatiger Aufwärtstrend ab
Börse Online 33/2026,68,TecDAX,,Analyse technique,"Indicateurs (RSI, MACD, momentum, force relative)",Gleitenden Durchschnitte der vergangenen 55 und 38 Börsentage überwunden wurden
Börse Online 33/2026,68,TecDAX,,Analyse technique,Cassure de résistance / rebond sur support,"über die 38-Tage-Linie trieb. Zum Auftakt in den August war es dann aber soweit,"
Börse Online 39/2026,72,EUR/USD TOP-DERIVAT,,Analyse technique,Cassure de résistance / rebond sur support,"Zuletzt aber zum Greenback fabriziert. ein neuer mittelfristiger, mit der Position auf einen fixen Stopp verzichtet"
Börse Online 39/2026,72,EUR/USD TOP-DERIVAT,,Analyse technique,"Indicateurs (RSI, MACD, momentum, force relative)","Ebenso die noch nicht weit zurückliegenden unterschiedlichen Signale beim MACD-Indikator: negativ auf Monats-, jedoch positiv auf Wochenbasis."
Börse Online 39/2026,72,EUR/USD TOP-DERIVAT,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)","EUR/USD TOP-DERIVAT ... dieser Schein, mit dem man zunächst darauf setzt"
Börse Online 27/2026,69,Merck-KGaA-Capped-Call,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)",Merck-KGaA-Capped-Call
Börse Online 27/2026,69,Nasdaq-100-Capped-Put,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)",Nasdaq-100-Capped-Put positioniert... Bayer-Bonus-Cap in € bei maximal 31.500 Punkten notiert.
Capital 07/2026,94,A2 Milk,ATM.NZ,Rendement actionnaire,Dividende élevé ou en hausse,Dividendenrendite von knapp vier Prozent erwartet.
Börse Online 33/2026,63,AB Inbev,ABI.BR,Croissance,Croissance du CA / des bénéfices,Alkoholfreie Varianten wie Corona Cero gehören zu den Wachstumstreibern.
Börse Online 33/2026,63,AB Inbev,ABI.BR,Qualité,Marges / rentabilité élevées,"lagen Umsatz, Gewinn und Er- gebnis je Aktie über den Prog- nosen"
Euro 07/2026,67,Acatis AI Global Equities,,Thème / macro,"IA, semi-conducteurs, data centers",Hier wählt die KI die Aktien aus
Euro 07/2026,67,Acatis AI Global Equities,,Qualité,Marges / rentabilité élevées,"Zudem wertet ein Sprachmodell aus, was die Chefs oder die Finanzchefs der Firmen gegenüber Analysten und Investoren gesagt haben. Ob die Wirtschaft wächst Die Margen gehören."
Euro 10/2026,34,ADP,ADP,Qualité,"Position dominante, marque, avantage concurrentiel",etwas wie die amerikanische Datev. Der Konzern übernimmt für über eine Million Kunden
Euro 10/2026,34,ADP,ADP,Rendement actionnaire,Dividende élevé ou en hausse,ADP erhöht seit über 50 Jahren die Dividende und hat die Ausschüttung zuletzt weiter gesteigert.
Euro 10/2026,34,ADP,ADP,Qualité,"Bilan solide, trésorerie, cash-flow","Die Bilanz gilt als sehr solide, Kundengelder für Gehälter oder Steuern erzielen Zinserträge."
Börse Online 39/2026,56,AIRBUS,AIR.PA,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA","Strategisch ist das wertvoll, allerdings erhöht es den Aufwand und bringt zusätzliche Kosten- und Personalrisiken mit sich."
